archor_img,postive_img,close_positive_img,negative_img,label,label_name
airplane_10008.PNG,airplane_10008.PNG,airplane_10010.PNG,frog_40302.PNG,0,airplane
airplane_10010.PNG,airplane_10010.PNG,airplane_10020.PNG,horse_26165.PNG,0,airplane
airplane_10020.PNG,airplane_10020.PNG,airplane_10024.PNG,automobile_32806.PNG,0,airplane
airplane_10024.PNG,airplane_10024.PNG,airplane_10031.PNG,ship_25783.PNG,0,airplane
airplane_10031.PNG,airplane_10031.PNG,airplane_10043.PNG,truck_9869.PNG,0,airplane
airplane_10043.PNG,airplane_10043.PNG,airplane_10050.PNG,frog_923.PNG,0,airplane
airplane_10050.PNG,airplane_10050.PNG,airplane_10061.PNG,ship_20300.PNG,0,airplane
airplane_10061.PNG,airplane_10061.PNG,airplane_10064.PNG,truck_18982.PNG,0,airplane
airplane_10064.PNG,airplane_10064.PNG,airplane_10115.PNG,horse_18023.PNG,0,airplane
airplane_10115.PNG,airplane_10115.PNG,airplane_1012.PNG,truck_7069.PNG,0,airplane
airplane_1012.PNG,airplane_1012.PNG,airplane_10124.PNG,truck_3531.PNG,0,airplane
airplane_10124.PNG,airplane_10124.PNG,airplane_10130.PNG,automobile_37327.PNG,0,airplane
airplane_10130.PNG,airplane_10130.PNG,airplane_10141.PNG,frog_1085.PNG,0,airplane
airplane_10141.PNG,airplane_10141.PNG,airplane_10146.PNG,frog_8950.PNG,0,airplane
airplane_10146.PNG,airplane_10146.PNG,airplane_10148.PNG,ship_10986.PNG,0,airplane
airplane_10148.PNG,airplane_10148.PNG,airplane_10151.PNG,automobile_31776.PNG,0,airplane
airplane_10151.PNG,airplane_10151.PNG,airplane_10159.PNG,deer_19857.PNG,0,airplane
airplane_10159.PNG,airplane_10159.PNG,airplane_10197.PNG,ship_5977.PNG,0,airplane
airplane_10197.PNG,airplane_10197.PNG,airplane_10202.PNG,frog_44602.PNG,0,airplane
airplane_10202.PNG,airplane_10202.PNG,airplane_10205.PNG,deer_1350.PNG,0,airplane
airplane_10205.PNG,airplane_10205.PNG,airplane_10212.PNG,cat_9338.PNG,0,airplane
airplane_10212.PNG,airplane_10212.PNG,airplane_10215.PNG,cat_15392.PNG,0,airplane
airplane_10215.PNG,airplane_10215.PNG,airplane_10243.PNG,truck_44714.PNG,0,airplane
airplane_10243.PNG,airplane_10243.PNG,airplane_10265.PNG,horse_6261.PNG,0,airplane
airplane_10265.PNG,airplane_10265.PNG,airplane_10266.PNG,horse_37496.PNG,0,airplane
airplane_10266.PNG,airplane_10266.PNG,airplane_10267.PNG,ship_35562.PNG,0,airplane
airplane_10267.PNG,airplane_10267.PNG,airplane_10275.PNG,deer_32368.PNG,0,airplane
airplane_10275.PNG,airplane_10275.PNG,airplane_10297.PNG,cat_12237.PNG,0,airplane
airplane_10297.PNG,airplane_10297.PNG,airplane_10301.PNG,automobile_41155.PNG,0,airplane
airplane_10301.PNG,airplane_10301.PNG,airplane_10323.PNG,dog_25980.PNG,0,airplane
airplane_10323.PNG,airplane_10323.PNG,airplane_10326.PNG,truck_7040.PNG,0,airplane
airplane_10326.PNG,airplane_10326.PNG,airplane_10330.PNG,truck_v46713.PNG,0,airplane
airplane_10330.PNG,airplane_10330.PNG,airplane_10332.PNG,cat_17047.PNG,0,airplane
airplane_10332.PNG,airplane_10332.PNG,airplane_10334.PNG,frog_3991.PNG,0,airplane
airplane_10334.PNG,airplane_10334.PNG,airplane_10338.PNG,automobile_16555.PNG,0,airplane
airplane_10338.PNG,airplane_10338.PNG,airplane_10340.PNG,truck_38752.PNG,0,airplane
airplane_10340.PNG,airplane_10340.PNG,airplane_10343.PNG,ship_36747.PNG,0,airplane
airplane_10343.PNG,airplane_10343.PNG,airplane_10353.PNG,ship_40110.PNG,0,airplane
airplane_10353.PNG,airplane_10353.PNG,airplane_10355.PNG,deer_34969.PNG,0,airplane
airplane_10355.PNG,airplane_10355.PNG,airplane_10365.PNG,cat_v46411.PNG,0,airplane
airplane_10365.PNG,airplane_10365.PNG,airplane_1039.PNG,dog_32817.PNG,0,airplane
airplane_1039.PNG,airplane_1039.PNG,airplane_10394.PNG,truck_24731.PNG,0,airplane
airplane_10394.PNG,airplane_10394.PNG,airplane_10399.PNG,cat_34593.PNG,0,airplane
airplane_10399.PNG,airplane_10399.PNG,airplane_10401.PNG,ship_32861.PNG,0,airplane
airplane_10401.PNG,airplane_10401.PNG,airplane_10425.PNG,horse_41655.PNG,0,airplane
airplane_10425.PNG,airplane_10425.PNG,airplane_1044.PNG,truck_37454.PNG,0,airplane
airplane_1044.PNG,airplane_1044.PNG,airplane_10455.PNG,truck_28065.PNG,0,airplane
airplane_10455.PNG,airplane_10455.PNG,airplane_10470.PNG,frog_18250.PNG,0,airplane
airplane_10470.PNG,airplane_10470.PNG,airplane_10486.PNG,truck_33786.PNG,0,airplane
airplane_10486.PNG,airplane_10486.PNG,airplane_10487.PNG,automobile_43416.PNG,0,airplane
